;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
1245;1482130;0;False;;;;1.0;0.0;0.0;1.0;;6.0;2021-ar-7M;
1246;1513450;0;False;full;;;1.0;0.0;0.0;1.0;;14.0;2021-Jan21-20;
1247;1660480;0;True;;;;1.0;1.0;1.0;3.0;;;2021-Jun-22;2021-06-22
1248;1676150;0;False;;;;1.0;0.0;0.0;1.0;;17.0;2021-Aug-25;2021-08-25
1249;1676870;0;False;;;;1.0;0.0;0.0;1.0;;13.0;2021-ct-7O;
1250;1299790;0;False;;;;1.0;0.0;0.0;1.0;;0.0;2021-Mar-30;2021-03-30
1251;942390;0;False;;;;1.0;0.0;0.0;1.0;;38.0;2021-Nov-11;2021-11-11
1252;1274210;0;False;;1.0;;1.0;1.0;0.0;2.0;;;2021-ct-1O;
1253;1413090;0;False;;;;1.0;0.0;0.0;1.0;;28.0;2021-Sep-28;2021-09-28
1254;1505380;0;False;;;;1.0;0.0;0.0;1.0;;5.0;2021-eb-3F;
1255;1747670;0;False;;;;1.0;0.0;0.0;1.0;;24.0;2021-Oct-26;2021-10-26
1256;1760090;0;False;;;;1.0;0.0;0.0;1.0;;25.0;2021-Dec-27;2021-12-27
1257;1580210;0;False;;2.0;;1.0;0.0;0.0;1.0;;40.0;2021-Apr-25;2021-04-25
1258;1537740;0;False;;1.0;;1.0;1.0;1.0;3.0;;20.0;2021-Feb-24;2021-02-24
1259;699130;0;False;full;6.0;;1.0;0.0;0.0;1.0;10261.0;35.0;2021-Sep20-21;
1260;789830;0;False;;;;1.0;0.0;0.0;1.0;;16.0;2021-eb-4F;
1261;1570750;0;False;full;;;1.0;1.0;0.0;2.0;;85.0;2021-pr-5A;
1262;1636100;0;False;full;;;1.0;0.0;0.0;1.0;;;2021-Aug-10;2021-08-10
1263;1523720;0;False;;;86.0;1.0;0.0;0.0;1.0;140.0;49.0;2021-Apr21-20;
1264;1218500;0;False;;1.0;;1.0;0.0;0.0;1.0;730.0;100.0;2021-May-18;2021-05-18
1265;1246250;0;False;full;;;1.0;0.0;0.0;1.0;141.0;22.0;2021-May-25;2021-05-25
1266;1832220;0;True;full;;;1.0;0.0;0.0;1.0;;;2021-Dec-16;2021-12-16
1267;1329600;0;False;;;;1.0;0.0;0.0;1.0;441.0;;2021-Apr-15;2021-04-15
1268;1611070;0;True;;;;1.0;1.0;0.0;2.0;;;2021-ug-6A;
1269;1076200;0;False;full;5.0;78.0;1.0;1.0;1.0;3.0;2253.0;61.0;2021-Jun-17;2021-06-17
1270;1342040;0;False;;;;1.0;0.0;0.0;1.0;127.0;;2021-ct-8O;
1271;1395830;0;False;;2.0;;1.0;0.0;0.0;1.0;;25.0;2021-Nov-12;2021-11-12
1272;1595030;0;False;full;;;1.0;1.0;1.0;3.0;352.0;12.0;2021-ay-9M;
