;App_id;24_Hour_Peak;All_time_peak
2126;749730;Invalid;Invalid
2127;757730;0;5
2128;781670;Invalid;Invalid
2129;839570;Invalid;Invalid
2130;864740;Invalid;Invalid
2131;886180;Invalid;Invalid
2132;895120;0;5
2133;911760;Invalid;Invalid
2134;862920;Invalid;Invalid
2135;870290;0;93
2136;501850;Invalid;Invalid
2137;577000;Invalid;Invalid
2138;680190;Invalid;Invalid
2139;726300;Invalid;Invalid
2140;730690;0;1
2141;733530;0;8
2142;738210;Invalid;Invalid
2143;745820;Invalid;Invalid
2144;754270;0;4
2145;756630;Invalid;Invalid
2146;761040;Invalid;Invalid
2147;762240;Invalid;Invalid
2148;776360;Invalid;Invalid
2149;781380;Invalid;Invalid
2150;781500;Invalid;Invalid
2151;782210;Invalid;Invalid
2152;782610;Invalid;Invalid
2153;787620;Invalid;Invalid
2154;797450;0;5
2155;805260;0;1
2156;811040;Invalid;Invalid
2157;813020;Invalid;Invalid
2158;817120;Invalid;Invalid
2159;831180;Invalid;Invalid
2160;841440;Invalid;Invalid
2161;866750;0;3
2162;887750;0;1
2163;889450;Invalid;Invalid
2164;898830;Invalid;Invalid
2165;904530;Invalid;Invalid
2166;906310;Invalid;Invalid
2167;906370;Invalid;Invalid
2168;912580;Invalid;Invalid
2169;923650;0;1
2170;924560;0;2
2171;924790;Invalid;Invalid
2172;929410;0;4
2173;963960;0;1
2174;970470;Invalid;Invalid
2175;982120;0;1
2176;710190;Invalid;Invalid
2177;771680;Invalid;Invalid
2178;794600;79;1929
2179;633360;6;188
2180;686720;21;316
2181;691690;12;997
2182;801260;Invalid;Invalid
2183;981960;Invalid;Invalid
